areaCode,areaName,areaType,date,variant,cumWeeklySequenced,newWeeklyPercentage
E12000001,North East,region,2022-07-31,Other,113966.0,20.2
E12000001,North East,region,2022-07-31,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-07-31,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-07-31,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-07-31,V-22JUL-01 (Omicron BA.2.75),0.0,0.0
E12000001,North East,region,2022-07-31,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-07-31,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-07-31,VOC-22APR-03 (Omicron BA.4),113966.0,13.2
E12000001,North East,region,2022-07-31,VOC-22APR-04 (Omicron BA.5),113966.0,65.8
E12000001,North East,region,2022-07-31,VOC-22JAN-01 (Omicron BA.2),113966.0,0.8
E12000001,North East,region,2022-07-24,Other,113709.0,7.1
E12000001,North East,region,2022-07-24,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-07-24,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-07-24,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-07-24,V-22JUL-01 (Omicron BA.2.75),0.0,0.0
E12000001,North East,region,2022-07-24,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-07-24,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-07-24,VOC-22APR-03 (Omicron BA.4),113709.0,8.2
E12000001,North East,region,2022-07-24,VOC-22APR-04 (Omicron BA.5),113709.0,84.0
E12000001,North East,region,2022-07-24,VOC-22JAN-01 (Omicron BA.2),113709.0,0.7
E12000001,North East,region,2022-07-17,Other,113427.0,1.8
E12000001,North East,region,2022-07-17,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-07-17,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-07-17,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-07-17,V-22JUL-01 (Omicron BA.2.75),0.0,0.0
E12000001,North East,region,2022-07-17,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-07-17,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-07-17,VOC-22APR-03 (Omicron BA.4),113427.0,15.2
E12000001,North East,region,2022-07-17,VOC-22APR-04 (Omicron BA.5),113427.0,80.4
E12000001,North East,region,2022-07-17,VOC-22JAN-01 (Omicron BA.2),113427.0,2.6
E12000001,North East,region,2022-07-10,Other,113040.0,5.8
E12000001,North East,region,2022-07-10,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-07-10,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-07-10,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-07-10,V-22JUL-01 (Omicron BA.2.75),0.0,0.0
E12000001,North East,region,2022-07-10,V-22OCT-01 (Omicron BQ.1),0.0,0.0
